local_path,id,user_nid,date_taken,capture_device,lon,lat,autotags,ISO,shutter,aperture,focal,count,modelyear,type,stype,size,emp,make,date,year,month,isoweekday,hour,secpast,photo_url,views,faves,density,geopoint,p1_km,p2_km,p3_km,p4_km
/Users/damoncrockett/Desktop/astrophotography_data/images/8311278190_4827ef5cb0.jpg,8311278190,9932433@N04,2012-11-17 23:51:42.0,NIKON+CORPORATION+NIKON+D5000,-4.935135,51.599147,"coast:0.5400,dusk:0.5330,fog:0.5390,landscape:0.6310,minimalism:0.5640,mist:0.5960,nature:0.6610,ocean:0.6610,outdoor:0.9150,rain:0.7080,sand:0.6080,sea:0.6510,seaside:0.6310,serene:0.6140,shore:0.6310,sky:0.9080,sun:0.6150,sunlight:0.5820,sunrise:0.5010,sunset:0.6280,water:0.6610",320,11341%2F10,3.5,18.0,39.0,2009.0,dslr,cmos,372.88,12.0,NIKON,2012-11-17 23:51:42,2012,11,6,23,569548302.0,http://www.flickr.com/photos/9932433@N04/8311278190/,105,1,0.000574843221212,POINT (-4.935135 51.59914699999999),708.013860241,6752.70045702,18202.0210667,10701.1553316
/Users/damoncrockett/Desktop/astrophotography_data/images/5087035003_a7f42ea366.jpg,5087035003,9932433@N04,2010-08-13 22:11:24.0,NIKON+CORPORATION+NIKON+D5000,-4.998588,51.672872,texture:0.5700,3200,30,3.5,18.0,39.0,2009.0,dslr,cmos,372.88,12.0,NIKON,2010-08-13 22:11:24,2010,8,5,22,498089484.0,http://www.flickr.com/photos/9932433@N04/5087035003/,"1,300",0,0.000571940853523,POINT (-4.998588 51.672872),715.559328733,6748.93462751,18211.0013801,10705.4071374
/Users/damoncrockett/Desktop/astrophotography_data/images/8310231019_5ee062e2cf.jpg,8310231019,9932433@N04,2012-11-17 23:39:15.0,NIKON+CORPORATION+NIKON+D5000,-4.934964,51.598667,"aurora:0.5040,black background:0.5220,black:0.5220,cave:0.5010,creek:0.5950,crevice:0.6080,landscape:0.5950,nature:0.7380,night:0.5220,outdoor:0.9310,passageway:0.6580,river:0.5800,sea:0.7380,serene:0.6080,snow:0.5360,water:0.7640",1250,30,3.5,18.0,39.0,2009.0,dslr,cmos,372.88,12.0,NIKON,2012-11-17 23:39:15,2012,11,6,23,569547555.0,http://www.flickr.com/photos/9932433@N04/8310231019/,415,1,0.000574858145383,POINT (-4.934964 51.598667),707.981056168,6752.70476781,18201.9793048,10701.1166939
/Users/damoncrockett/Desktop/astrophotography_data/images/509361101_96a037efa1.jpg,509361101,99262805@N00,2007-05-20 05:28:52.0,Canon+EOS+20D,0.457177,51.755648,"black:0.8870,blackandwhite:0.9110,bubble:0.5440,full moon:0.8250,lunar:0.8250,monochrome:0.9140,moon:0.8250,nature:0.8250",100,4,8,135.0,25.0,2004.0,dslr,cmos,22.515,8.0,CANON,2007-05-20 05:28:52,2007,5,7,5,395990932.0,http://www.flickr.com/photos/99262805@N00/509361101/,71,0,0.000622584490898,POINT (0.4571770000000001 51.755648),395.239506596,7207.20895518,17841.8089809,10969.3364504
/Users/damoncrockett/Desktop/astrophotography_data/images/12740770314_9a1e96e759.jpg,12740770314,97599088@N06,2014-02-22 19:45:19.0,Canon+EOS+700D,6.489143,44.845402,"abstract:0.8670,aurora:0.5400,autumn:0.7050,foliage:0.7050,nature:0.7050,night:0.6550,outdoor:0.9360,plant:0.7050,rain:0.8080,serene:0.7470,texture:0.9150,water:0.7210",6400,30,3.5,20.0,8.0,2013.0,dslr,cmos,332.27,18.0,CANON,2014-02-22 19:45:19,2014,2,6,19,609450319.0,http://www.flickr.com/photos/97599088@N06/12740770314/,674,0,0.000597185977253,POINT (6.489143 44.845402),497.649553557,7622.77639697,16992.4411107,10645.5892082
/Users/damoncrockett/Desktop/astrophotography_data/images/12751514913_4d026b7ab3.jpg,12751514913,97599088@N06,2014-02-19 22:09:06.0,Canon+EOS+700D,6.48957,44.84587,"abstract:0.7150,art:0.6710,aurora:0.7180,black background:0.9750,black:0.9750,bubble:0.6820,fireworks:0.8390,fractal:0.5070,full moon:0.5500,light painting:0.6710,lunar:0.8170,monochrome:0.9470,moon:0.8170,nature:0.8170,neon light:0.6990,night:0.8850,outdoor:0.9110,quirky:0.5000,rain:0.8000,serene:0.7060,surreal:0.5730,texture:0.8320",6400,2.5,5.6,300.0,8.0,2013.0,dslr,cmos,332.27,18.0,CANON,2014-02-19 22:09:06,2014,2,3,22,609199746.0,http://www.flickr.com/photos/97599088@N06/12751514913/,420,0,0.00059721241906,POINT (6.48957 44.84587),497.613206132,7622.81622525,16992.4405827,10645.6545089
/Users/damoncrockett/Desktop/astrophotography_data/images/6944957511_760ea8bb17.jpg,6944957511,9611661@N05,2012-03-01 13:19:05.0,Canon+EOS+400D+DIGITAL,1.387839,52.711287,"abstract:0.7070,aurora:0.5590,black background:0.8550,black:0.8550,bubble:0.5590,lunar:0.6610,moon:0.6610,nature:0.6610,night:0.6780,outdoor:0.6550,rain:0.7550,texture:0.8220",1600,30,4,17.0,49.0,2006.0,dslr,cmos,328.56,10.0,CANON,2012-03-01 13:19:05,2012,3,4,13,546959945.0,http://www.flickr.com/photos/9611661@N05/6944957511/,74,0,0.000576797890313,POINT (1.387839 52.711287),448.732263932,7304.61162641,17839.7198864,11104.7911761
/Users/damoncrockett/Desktop/astrophotography_data/images/340051689_b206c8e62f.jpg,340051689,95317031@N00,2006-12-31 21:36:20.0,,-5.067282,50.402992,"black background:0.9040,black:0.9040,blackandwhite:0.9220,circle:0.5700,full moon:0.9210,lunar:0.9990,monochrome:0.9360,moon:0.9990,nature:0.9990,round:0.5700",,,,,,,,,,,,2006-12-31 21:36:20,2006,12,7,21,383952980.0,http://www.flickr.com/photos/95317031@N00/340051689/,468,0,0.000592704021208,POINT (-5.067282 50.402992),675.22707725,6717.97332465,18136.8325959,10579.6859322
/Users/damoncrockett/Desktop/astrophotography_data/images/8627642963_0d3e93cfdb.jpg,8627642963,94642745@N05,2013-04-01 21:43:02.0,,11.554312,48.609277,"abstract:0.7220,aurora:0.7010,black background:0.7490,black:0.7490,lunar:0.5520,minimalism:0.5410,moon:0.5520,nature:0.7010,night:0.6090,outdoor:0.8420,rain:0.7390,texture:0.8710,water:0.5110",,,,,,,,,,,,2013-04-01 21:43:02,2013,4,1,21,581204582.0,http://www.flickr.com/photos/94642745@N05/8627642963/,224,0,0.000641085436188,POINT (11.554312 48.609277),557.602507616,8090.82823555,16885.3558474,11261.2234677
/Users/damoncrockett/Desktop/astrophotography_data/images/8679736172_c302d7f92c.jpg,8679736172,94555140@N05,2013-04-24 23:57:53.0,Canon+EOS+1100D,8.68349,50.110671,"abstract:0.9770,ancient:0.7010,art:0.7160,black background:0.9940,black:0.9940,blue:0.8400,circle:0.9760,curve:0.8670,ethereal:0.5060,food:0.6400,foothill:0.5660,forest:0.7680,fractal:0.6970,full moon:0.8920,hill:0.5660,landscape:0.7680,lunar:1.0000,macro:0.7590,minimalism:0.8460,moon:1.0000,nature:1.0000,organic pattern:0.8950,outdoor:0.8040,pattern:0.8960,quirky:0.7720,round:0.9760,sea:0.6380,serene:0.7540,sign:0.5700,street sign:0.5700,sun:0.7870,sunlight:0.6330,surreal:0.8290,symmetry:0.7140,text:0.5700,texture:0.9800,water:0.5820",400,1%2F500,,50.0,11.0,2011.0,dslr,cmos,328.56,12.0,CANON,2013-04-24 23:57:53,2013,4,3,23,583199873.0,http://www.flickr.com/photos/94555140@N05/8679736172/,"1,187",3,0.00064714446875,POINT (8.683489999999999 50.110671),366.580345109,7869.7192484,17177.0534857,11238.2661473
